string_external_id,abundance
YDR507C,736.464618
YDR508C,10634.44575
YDR510W,2937.349284
YDR511W,194.711698
YDR513W,31400.12897
YDR514C,124.510117
YDR515W,861.143461
YDR516C,10566.02831
YDR517W,2733.407426
YDR519W,5402.824813
YDR520C,936.775973
YDR522C,238.011792
YDR524C,395.628344
YDR525W-A,20406.63041
YDR527W,688.35166
YDR528W,258.915893
YDR529C,10077.4879
YDR530C,1771.624875
YDR531W,6185.581127
YDR532C,376.921209
YDR533C,357.977413
YDR538W,1746.07334
YDR539W,861.143461
YDR540C,172.147832
YEL001C,7108.890555
YEL002C,14902.5527
YEL003W,1655.885285
YEL006W,1629.891555
YEL007W,1707.568347
YEL011W,1225.722176
YEL012W,1590.703824
YEL013W,5682.633923
YEL015W,2343.073302
YEL017C-A,74715.51673
YEL017W,1295.187544
YEL018W,936.775973
YEL019C,2801.800602
YEL022W,7696.481883
YEL027W,8450.956611
YEL031W,1872.926488
YEL032W,35099.97731
YEL037C,10895.67561
YEL038W,2847.163185
YEL039C,1308.967217
YEL041W,299.519102
YEL042W,8681.521714
YEL043W,148.811243
YEL044W,1720.427389
YEL046C,106018.1917
YEL047C,7622.245279
YEL048C,8655.808529
YEL050C,1577.587385
YEL051W,8502.026952
YEL052W,3573.309141
YEL053C,1972.867337
YEL054C,68483.79893
YEL055C,4485.082266
YEL058W,14690.12817
YEL059C-A,357.977413
YEL060C,1603.793112
YEL061C,238.011792
YEL062W,319.300389
YEL066W,1155.251341
YEL068C,951.715802
YEL070W,124.510117
YEL071W,12966.99506
YER001W,1784.365878
YER002W,2864.127232
YER003C,5222.314335
YER004W,1336.41794
YER005W,450.486391
YER006W,7133.083532
YER007C-A,4215.134277
YER007W,2144.790022
YER008C,376.921209
YER010C,845.818925
YER011W,622.843006
YER012W,21778.28095
YER013W,906.714285
YER014W,5347.390686
YER015W,357.977413
YER016W,3632.073559
YER017C,3870.074331
YER018C,3280.556272
YER019C-A,414.115457
YER019W,2169.063186
YER020W,4569.181177
YER021W,16666.93729
YER022W,3649.754992
YER023W,43518.85645
YER024W,319.300389
YER025W,20769.52874
YER027C,3592.864266
YER029C,861.143461
YER030W,622.843006
YER031C,5955.33142
YER034W,1098.088258
YER035W,538.409577
YER036C,17635.79701
YER037W,194.711698
YER039C-A,98.941523
YER040W,589.437791
YER041W,130.689731
YER042W,3071.341699
YER044C,376.921209
YER047C,299.519102
YER048W-A,2443.571616
YER049W,8914.000141
YER050C,1211.71123
YER051W,783.798887
YER052C,48149.0314
YER053C-A,2360.885973
YER054C,124.510117
YER056C-A,23561.84244
YER057C,672.127009
YER059W,1239.692946
YER061C,1655.885285
YER062C,4996.845821
YER063W,6583.15252
YER064C,1733.262297
YER067W,8450.956611
YER068W,4276.968159
YER069W,1183.565989
YER070W,292504.7803
YER071C,799.416322
YER072W,12073.78085
YER073W,23316.87153
YER075C,768.102769
YER077C,432.397164
YER078C,5083.790177
YER079W,1885.491266
YER080W,8197.041147
YER081W,7671.711581
YER082C,5795.776334
YER084W,299.519102
YER086W,11874.83906
YER087C-A,216.634494
YER087W,477.284179
YER088C,2120.447552
YER089C,12618.89407
YER090W,6512.436698
YER091C,263886.2349
YER092W,2277.46513
YER093C-A,1835.103835
YER095W,6964.269049
YER098W,98.941523
YER099C,8121.336004
YER100W,1898.035017
YER101C,936.775973
YER102W,14388.30966
YER103W,17876.62581
YER104W,258.915893
YER105C,4422.326721
YER107C,1822.767904
YER110C,38300.98543
YER111C,589.437791
YER112W,3443.374934
YER114C,688.35166
YER118C,2325.226499
YER120W,3497.215661
YER122C,1511.585725
YER123W,1322.710493
